Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
Hội chứng mệt mỏi mãn tính,đau cơ,mệt mỏi không rõ nguyên nhân,cảm giác không phục hồi sau giấc ngủ,khó ngủ,đau khớp,suy giảm trí nhớ,,,,
Viêm màng não,cứng cổ,buồn nôn,mệt mỏi,lú lẫn,sốt cao,hôn mê,co giật,,,
Bệnh botulism,khó thở,khó nuốt,sụp mí mắt,mắt nhìn mờ,khô miệng,đau cơ,,,,
Schizophrenia,mất hứng thú,khó tập trung,thay đổi hành vi,ảo giác,trầm cảm,hoang tưởng,,,,
Zona,cảm giác cháy,sốt,đau đầu,mệt mỏi,buồn nôn,nhạy cảm với ánh sáng,phát ban đau,đau nhức,,
Hội chứng ruột kích thích,đầy hơi,tiêu chảy,táo bón,đau bụng,nước tiểu sẫm màu,,,,,
Dại,chảy nước dãi quá mức,bị liệt,ảo giác,đau đầu,mất ngủ,khó nuốt,mơ hồ,co giật,,
Herpes,ngứa,vùng da đau nhức,mệt mỏi,sốt,vết loét trên cơ thể,phát ban,buồn nôn,đau đầu,,
Suy giáp,khó chịu với lạnh,kinh nguyệt không đều,chậm nhịp tim,trầm cảm,giọng khàn,,,,,
Động kinh,mơ hồ sau cơn co giật,chuyển động không kiểm soát,co giật,cắn lưỡi,mơ hồ,run,,,,
U ác tính,đau ngực,mệt mỏi,khó nuốt,ho kéo dài,khối u,khó thở,đau,sốt,thay đổi màu sắc của da hoặc nốt mụn,
Thai ngoài tử cung,đau khi ho,buồn nôn,chóng mặt,chậm kinh,thở dốc,đau khi đi vệ sinh,ra máu âm đạo,đau bụng dữ dội,cảm giác nặng bụng,mệt mỏi
Vô sinh,sút cân,tăng cân,khó thụ thai,rối loạn kinh nguyệt,chậm kinh,đau bụng,rối loạn nội tiết,,,
HIV,chán ăn,đau cơ,mệt mỏi,đổ mồ hôi ban đêm,sút cân,khó thở,viêm hạch bạch huyết,phát ban,,
Herpes,vùng da đau nhức,phát ban,buồn nôn,ngứa,sốt,đau đầu,đau khi tiểu,vết loét trên cơ thể,,
Hen suyễn,thở dài,đau ngực,khó thở khi vận động,khó thở,khò khè,ho,mệt mỏi,khó thở,,
Ung thư đại trực tràng,khó tiêu,đau bụng,nôn mửa,màu phân thay đổi,đau khi đi tiêu,máu trong phân,,,,
Hội chứng mệt mỏi mãn tính,cảm giác không phục hồi sau giấc ngủ,suy giảm trí nhớ,khó ngủ,đau đầu,cảm giác mệt mỏi kéo dài,trí nhớ kém,mệt mỏi không rõ nguyên nhân,lo âu,đau khớp,
Lạc nội mạc tử cung,đau vùng chậu,đau bụng,kinh nguyệt không đều,mệt mỏi,rối loạn tiêu hóa,,,,,
Sa sút trí tuệ,khó nhận diện người thân,cảm giác bị mất kiểm soát,mất khả năng hoàn thành công việc đơn giản,cảm giác lạc lõng,lúng túng trong giao tiếp,khó nhớ tên,khó khăn trong việc ra quyết định,,,
Viêm dạ dày,đầy hơi,nôn mửa,buồn nôn,tiêu chảy,chảy máu dạ dày,đau thượng vị,chán ăn,cảm giác nặng bụng,đau khi ăn,
Hội chứng buồng trứng đa nang (PCOS),mọc nhiều lông,rối loạn tâm lý,đau bụng,mụn trứng cá,kinh nguyệt không đều,,,,,
Syphilis,vết loét không đau,đau cơ,viêm hạch,mệt mỏi,phát ban da,,,,,
Ngưng thở khi ngủ,khô miệng khi thức dậy,khó tập trung,đau đầu,mệt mỏi vào buổi sáng,tiếng thở rít khi ngủ,ngáy to,thở dốc khi ngủ,,,
Tăng huyết áp,mơ hồ,chóng mặt,đau đầu,vấn đề về thị lực,đau ngực,khó thở,mệt mỏi,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),ho kéo dài,tiếng thở có âm thanh,ho có đờm,khó thở,sút cân,,,,,
Đột quỵ,mất phối hợp,yếu một bên cơ thể,tê bì đột ngột,khó nhìn,chóng mặt,,,,,
Động kinh,chuột rút cơ,mơ hồ,chuyển động không kiểm soát,mơ hồ sau cơn co giật,cảm giác trước khi co giật,mất trí nhớ tạm thời,,,,
Hội chứng Guillain-Barré,mất cảm giác ở tay và chân,đau lưng,giảm phản xạ,yếu cơ,mất khả năng vận động,,,,,
Zona,phỏng rộp,nhạy cảm với ánh sáng,phát ban đau,đau nhức,buồn nôn,cảm giác cháy,đau đầu,mệt mỏi,,
Cảm cúm,ho,đau đầu,nôn,nghẹt mũi,mệt mỏi,rùng mình,đau cơ,,,
Tiểu đường thai kỳ,nôn mửa,buồn nôn,khát nước nhiều,đau đầu,nhìn mờ,mệt mỏi,khó thở,cảm giác tê ở tay chân,,
Viêm khớp,biến dạng khớp,cứng khớp,sưng tấy,nhiệt độ khớp,yếu,giảm phạm vi vận động,đỏ xung quanh khớp,đau nhức,đau khớp,
Bệnh bạch cầu,mệt mỏi,dễ bầm tím,sốt,đau xương,giảm cân không rõ lý do,nhiễm trùng thường xuyên,hạch bạch huyết sưng,ra mồ hôi đêm,,
Sốt xuất huyết,đau đầu dữ dội,nôn,đau khớp,phát ban,sốt,,,,,
Lupus,viêm phổi,cảm giác lạnh,mệt mỏi,phát ban mặt,sốt,đau khớp,sút cân,,,
Ung thư cổ tử cung,đau khi quan hệ,tiêu chảy,tiết dịch âm đạo bất thường,đau vùng chậu,giảm cân,sưng chân,tiểu đau,,,
Sốt thấp khớp,phát ban,viêm tim,viêm họng,chóng mặt,buồn nôn,khó thở,đau khớp,mệt mỏi,sốt,
Thai ngoài tử cung,mệt mỏi,đau khi đi vệ sinh,đau khi ho,buồn nôn,chậm kinh,thở dốc,cảm giác nặng bụng,đau bụng dữ dội,ra máu âm đạo,
Bệnh máu khó đông,chảy máu mũi,đau khớp,dễ bầm tím,chảy máu răng,đau bụng,xuất huyết trong cơ,cảm giác nặng nề ở tay chân,,,
Chán ăn,cảm giác no ngay cả khi không ăn,suy nhược cơ thể,mất cảm giác thèm ăn,chóng mặt,khó ngủ,cảm giác tội lỗi khi ăn,giảm cân nhanh,mệt mỏi,,
Trầm cảm,nghĩ đến cái chết,cảm giác có lỗi,buồn bã,giảm khả năng tập trung,sút cân hoặc tăng cân,cảm giác vô vọng,khó ngủ,không có hứng thú với các hoạt động,mệt mỏi,suy nghĩ tiêu cực
Bệnh botulism,khó thở,sụp mí mắt,đau cơ,yếu cơ,khó nuốt,khô miệng,mắt nhìn mờ,mệt mỏi,,
Ung thư phổi,ho kéo dài,giảm cân,thở nhanh hoặc khó khăn khi gắng sức,mệt mỏi,ho ra máu,khó thở,chán ăn,ho có đờm,,
Bệnh Huntington,mất thăng bằng,chóng mặt,yếu cơ,giảm cân,mất tập trung,,,,,
Gout,khó di chuyển,đỏ da quanh khớp,đau lưng,sưng khớp,cảm giác nóng ở khớp,sút cân,tiểu gắt,buồn nôn,đau khớp đột ngột,
Viêm da cơ địa,ngứa,da sưng,nứt nẻ da,da bị viêm,phát ban đỏ,da có mụn nước,da dày hơn,da khô,đau rát,ngứa dai dẳng
Rối loạn hoảng sợ,rối loạn nhịp tim,cảm giác choáng váng,khó thở,đau ngực,mệt mỏi,buồn nôn,mồ hôi vã ra,cảm giác tê liệt,run rẩy,đột ngột cảm giác sợ hãi
Hội chứng Guillain-Barré,khó thở,giảm phản xạ,mất cảm giác ở tay và chân,yếu cơ,cảm giác kim châm trên da,mất khả năng vận động,đau lưng,tê tay chân,,
