Disease,Description
Tiểu đường,"Là một bệnh mãn tính liên quan đến lượng đường trong máu cao, gây ra bởi sự thiếu hụt insulin hoặc khả năng sử dụng insulin kém."
Tăng huyết áp,"Là tình trạng huyết áp cao trong động mạch, có thể dẫn đến các bệnh tim mạch, đột quỵ và tổn thương các cơ quan."
Hen suyễn,Là một bệnh về phổi khiến người bệnh gặp khó khăn trong việc thở do viêm và thu hẹp các đường thở.
Ung thư,Là một nhóm bệnh mà các tế bào trong cơ thể phát triển một cách không kiểm soát được.
Cảm cúm,"Là một bệnh nhiễm trùng do virus gây ra, với các triệu chứng như sốt, ho, đau cơ và mệt mỏi."
Viêm phổi,"Là tình trạng viêm nhiễm ở phổi gây khó thở, ho, sốt và đau ngực."
Bệnh lao,"Là một bệnh nhiễm trùng nghiêm trọng thường ảnh hưởng đến phổi, gây ho lâu dài và khó thở."
Sốt rét,"Là bệnh do ký sinh trùng gây ra, thường gặp ở khu vực nhiệt đới, gây sốt, lạnh run và mệt mỏi."
HIV/AIDS,"Là bệnh suy giảm miễn dịch do virus HIV gây ra, khiến hệ thống miễn dịch bị yếu đi và dễ dàng bị nhiễm các bệnh khác."
Đột quỵ,"Là một tình trạng cấp tính xảy ra khi một phần của não không nhận đủ máu, dẫn đến tổn thương mô não."
Động kinh,Là bệnh thần kinh mãn tính gây ra các cơn co giật bất thường do hoạt động điện bất thường trong não.
Bệnh Parkinson,"Là một bệnh thần kinh gây ra các triệu chứng như run tay, cứng khớp và khó khăn khi di chuyển."
Bệnh Alzheimer,"Là một dạng mất trí nhớ do thoái hóa tế bào thần kinh, ảnh hưởng đến trí nhớ, tư duy và hành vi."
Xơ nang,"Là một bệnh di truyền làm tắc nghẽn các tuyến dịch nhầy, ảnh hưởng đến các cơ quan như phổi và gan."
Bệnh thận mãn tính,"Là tình trạng suy giảm chức năng thận kéo dài, có thể dẫn đến suy thận."
Bệnh gan,"Là các bệnh ảnh hưởng đến gan, bao gồm viêm gan, xơ gan, và các loại ung thư gan."
Nhồi máu cơ tim,"Là tình trạng tắc nghẽn dòng máu đến tim, gây tổn thương hoặc chết tế bào tim."
Suy tim,Là tình trạng tim không thể bơm đủ máu để đáp ứng nhu cầu cơ thể.
Viêm khớp,"Là tình trạng viêm trong khớp, gây đau, sưng, và cứng khớp."
Viêm khớp dạng thấp,"Là một dạng bệnh viêm khớp tự miễn, khiến các khớp bị tổn thương và gây đau."
Xơ vữa động mạch,"Là tình trạng các mạch máu bị tắc nghẽn bởi mảng bám, gây ra các vấn đề về tim mạch và đột quỵ."
Bệnh Crohn,"Là một bệnh viêm ruột mãn tính, ảnh hưởng đến hệ tiêu hóa và có thể gây tiêu chảy và đau bụng."
